class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023201,PME3110,Práticas de Oficina para Engenharia Mecânica,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,qua,13:10,16:40,Mecânica,A02,1
2023202,PME3110,Práticas de Oficina para Engenharia Mecânica,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,qua,13:10,16:40,Mecânica,A02,1
2023201,PME3120,Expressão Gráfica em Engenharia Mecânica,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,seg,13:10,14:50,Mecânica,A07,1
2023231,PME3120,Expressão Gráfica em Engenharia Mecânica,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,ter,13:10,16:40,Mecânica,Oficina,1
2023232,PME3120,Expressão Gráfica em Engenharia Mecânica,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,ter,13:10,16:40,Mecânica,Oficina,1
2023261,PME3120,Expressão Gráfica em Engenharia Mecânica,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,sex,13:10,16:40,Mecânica,Oficina,1
2023262,PME3120,Expressão Gráfica em Engenharia Mecânica,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,sex,13:10,16:40,Mecânica,Oficina,1
2023211,PME3201,Laboratório de Simulações Numéricas,(R) Flavius Portella Ribas Martins,2023-08-07,2023-12-21,mecanica-manual,qui,07:30,11:00,Mecânica,A01-A,1
2023212,PME3201,Laboratório de Simulações Numéricas,(R) Flavius Portella Ribas Martins,2023-08-07,2023-12-21,mecanica-manual,qui,07:30,11:00,Mecânica,A01-A,1
2023221,PME3201,Laboratório de Simulações Numéricas,(R) Flavius Portella Ribas Martins,2023-08-07,2023-12-21,mecanica-manual,sex,13:10,16:40,Mecânica,A01-A,1
2023222,PME3201,Laboratório de Simulações Numéricas,(R) Flavius Portella Ribas Martins,2023-08-07,2023-12-21,mecanica-manual,sex,13:10,16:40,Mecânica,A01-A,1
2023201,PME3230,Mecânica dos Fluidos I,Antonio Luis de Campos Mariani,2023-08-07,2023-12-21,mecanica-manual,qua,09:20,11:00,Mecânica,A07,1
2023202,PME3230,Mecânica dos Fluidos I,Antonio Luis de Campos Mariani,2023-08-07,2023-12-21,mecanica-manual,qua,09:20,11:00,Mecânica,A09,1
2023203,PME3230,Mecânica dos Fluidos I,Antonio Luis de Campos Mariani,2023-08-07,2023-12-21,mecanica-manual,seg,09:20,11:00,Mecânica,A07,1
2023204,PME3230,Mecânica dos Fluidos I,Antonio Luis de Campos Mariani,2023-08-07,2023-12-21,mecanica-manual,seg,09:20,11:00,Mecânica,A02,1
2023223,PME3230,Mecânica dos Fluidos I,Sergio Roberto Ceccato,2023-08-07,2023-12-21,mecanica-manual,seg,14:00,17:20,Mecânica,A08,1
2023224,PME3230,Mecânica dos Fluidos I,Sergio Roberto Ceccato,2023-08-07,2023-12-21,mecanica-manual,seg,14:00,17:20,Mecânica,A08,1
2023231,PME3230,Mecânica dos Fluidos I,Fernando Luiz Sacomano Filho,2023-08-07,2023-12-21,mecanica-manual,ter,07:30,11:00,Mecânica,A08,1
2023232,PME3230,Mecânica dos Fluidos I,Fernando Luiz Sacomano Filho,2023-08-07,2023-12-21,mecanica-manual,ter,07:30,11:00,Mecânica,A08,1
2023241,PME3230,Mecânica dos Fluidos I,Bruno Souza Carmo,2023-08-07,2023-12-21,mecanica-manual,qua,07:30,11:00,Mecânica,PNV,1
2023243,PME3230,Mecânica dos Fluidos I,Bruno Souza Carmo,2023-08-07,2023-12-21,mecanica-manual,qua,07:30,11:00,Mecânica,PNV,1
2023251,PME3230,Mecânica dos Fluidos I,Bruno Souza Carmo,2023-08-07,2023-12-21,mecanica-manual,qui,07:30,11:00,Mecânica,A08,1
2023253,PME3230,Mecânica dos Fluidos I,Bruno Souza Carmo,2023-08-07,2023-12-21,mecanica-manual,qui,07:30,11:00,Mecânica,A08,1
2023252,PME3230,Mecânica dos Fluidos I,Bruno Souza Carmo,2023-08-07,2023-12-21,mecanica-manual,qui,07:30,11:00,Mecânica,A08,1
2023261,PME3230,Mecânica dos Fluidos I,Antonio Luiz Pacifico,2023-08-07,2023-12-21,mecanica-manual,sex,07:30,11:00,Mecânica,A07,1
2023262,PME3230,Mecânica dos Fluidos I,Antonio Luiz Pacifico,2023-08-07,2023-12-21,mecanica-manual,sex,07:30,11:00,Mecânica,A07,1
2023264,PME3230,Mecânica dos Fluidos I,Antonio Luiz Pacifico,2023-08-07,2023-12-21,mecanica-manual,sex,07:30,11:00,Mecânica,A07,1
2023265,PME3230,Mecânica dos Fluidos I,Alberto Hernandez Neto,2023-08-07,2023-12-21,mecanica-manual,sex,13:10,16:40,Mecânica,A08,1
2023267,PME3230,Mecânica dos Fluidos I,Alberto Hernandez Neto,2023-08-07,2023-12-21,mecanica-manual,sex,13:10,16:40,Mecânica,A08,1
2023201,PME3332,"Mecânica dos Fluidos : Noções, Laboratório e Aplicações",Fábio Saltara,2023-08-07,2023-12-21,mecanica-manual,qua,15:00,16:40,Mecânica,A07,1
2023202,PME3332,"Mecânica dos Fluidos : Noções, Laboratório e Aplicações",Fábio Saltara,2023-08-07,2023-12-21,mecanica-manual,qui,15:00,16:40,Mecânica,A07,1
2023203,PME3332,"Mecânica dos Fluidos : Noções, Laboratório e Aplicações",Fábio Saltara,2023-08-07,2023-12-21,mecanica-manual,sex,15:00,16:40,Mecânica,A07,1
2023201,PME3341,Termodinâmica II,(R) Silvio de Oliveira Junior,2023-08-07,2023-12-21,mecanica-manual,seg,07:30,09:10,Mecânica,A02,1
2023201,PME3341,Termodinâmica II,(R) Silvio de Oliveira Junior,2023-08-07,2023-12-21,mecanica-manual,qua,07:30,09:10,Mecânica,A02,1
