class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023101,PTC3520,Automação da Manufatura,Diego Colón,2023-03-13,2023-07-15,eletrica-manual,seg,09:20,12:50,Elétrica,GD-03,
2023101,PTC3360,Introdução a Redes e Comunicações,Juan Luis Poletti Soto,2023-03-13,2023-07-15,eletrica-manual,ter,09:20,11:00,Elétrica,GD-04,
2023101,PTC3360,Introdução a Redes e Comunicações,Juan Luis Poletti Soto,2023-03-13,2023-07-15,eletrica-manual,sex,09:20,11:00,Elétrica,A2-37,
2023101,4323301,Física Experimental C,José Helder Facundo Severo,2023-03-13,2023-07-15,eletrica-manual,qui,08:00,11:30,Elétrica,IF,
2023102,4323301,Física Experimental C,José Helder Facundo Severo,2023-03-13,2023-07-15,eletrica-manual,sex,14:00,17:30,Elétrica,IF,
2023103,PRO3811 ,Fundamentos de Administração,Marcelo Jose do Carmo,2023-03-13,2023-07-15,eletrica-manual,qui,07:30,09:10,Elétrica,D1-02,
2023101,PCS3216,Sistemas de Programação,João José Neto,2023-03-13,2023-07-15,eletrica-manual,seg,14:00,15:40,Elétrica,C1-49,
2023101,PCS3216,Sistemas de Programação,João José Neto,2023-03-13,2023-07-15,eletrica-manual,qua,16:00,17:40,Elétrica,C1-49,
2023101,PCS3412,Organização e Arquitetura de Computadores I,Wilson Vicente Ruggiero,2023-03-13,2023-07-15,eletrica-manual,seg,16:00,17:40,Elétrica,C1-49,
2023101,PCS3412,Organização e Arquitetura de Computadores I,Wilson Vicente Ruggiero,2023-03-13,2023-07-15,eletrica-manual,qua,14:00,15:40,Elétrica,C1-49,
2023101,PCS3413,Engenharia de Software e Banco de Dados,Solange Nice Alves de Souza,2023-03-13,2023-07-15,eletrica-manual,ter,14:00,15:40,Elétrica,D1-01,
2023101,PCS3413,Engenharia de Software e Banco de Dados,Solange Nice Alves de Souza,2023-03-13,2023-07-15,eletrica-manual,qui,14:00,15:40,Elétrica,C1-49,
2023101,PCS3414,Redes de Computadores I,Regina Melo Silveira,2023-03-13,2023-07-15,eletrica-manual,ter,16:00,17:40,Elétrica,D1-01,
2023101,PCS3414,Redes de Computadores I,Regina Melo Silveira,2023-03-13,2023-07-15,eletrica-manual,qui,16:00,17:40,Elétrica,C1-49,
2023150,PCS3539,Tecnologia de Computação Gráfica,Romero Tori,2023-03-13,2023-07-15,eletrica-manual,ter,18:50,22:30,Elétrica,FAU,
2023101,PCS3099,Computação Interativa,Romero Tori,2023-03-13,2023-07-15,eletrica-manual,qui,20:50,22:30,Elétrica,FAU,
2023102,PCS3099,Computação Interativa,Romero Tori,2023-03-13,2023-07-15,eletrica-manual,qui,20:50,22:30,Elétrica,FAU,
2023101,MAC0321,Laboratório de Programação Orientada a Objetos,Denis Deratani Mauá,2023-03-13,2023-07-15,eletrica-manual,qui,08:20,12:00,Elétrica,IME,
2023102,MAC0321,Laboratório de Programação Orientada a Objetos,Denis Deratani Mauá,2023-03-13,2023-07-15,eletrica-manual,sex,08:20,12:00,Elétrica,IME,
2023104,4323303,Física Experimental C,José Helder Facundo Severo,2023-01-09,2023-04-20,eletrica-manual,sex,07:30,11:10,Elétrica,IF,
2023105,4323303,Física Experimental C,José Helder Facundo Severo,2023-01-09,2023-04-20,eletrica-manual,sex,07:30,11:10,Elétrica,IF,
2023101,PSI3031,Laboratório de Circuitos Elétricos,Eduardo Coelho Marques da Costa,2023-01-09,2023-04-20,eletrica-manual,seg,14:00,17:40,Elétrica,Remota,
2023102,PSI3031,Laboratório de Circuitos Elétricos,Roberto Koji Onmori,2023-01-09,2023-04-20,eletrica-manual,qua,14:00,17:40,Elétrica,Remota,
2023101,PSI3421,Eletrônica III,João Antonio Martino,2023-03-13,2023-07-15,eletrica-manual,ter,08:20,10:00,Elétrica,GD-05,
2023101,PSI3421,Eletrônica III,João Antonio Martino,2023-03-13,2023-07-15,eletrica-manual,sex,09:20,11:00,Elétrica,GD-06,
2023101,PSI3441,Arquitetura de Sistemas Embarcados,Gustavo Pamplona Rehder,2023-03-13,2023-07-15,eletrica-manual,sex,07:30,09:10,Elétrica,GD-04,
2023101,PSI3541,Sistemas Embarcados Distribuídos,Sergio Takeo Kofuji,2023-03-13,2023-07-15,eletrica-manual,sex,16:50,18:30,Elétrica,GD-04,
