class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023101,PEA3301,Introdução aos Sistemas de Potência,Silvio Giuseppe Di Santo,2023-03-13,2023-07-15,eletrica-manual,ter,07:30,09:10,Elétrica,D1-01,1
2023101,PEA3301,Introdução aos Sistemas de Potência,Silvio Giuseppe Di Santo,2023-03-13,2023-07-15,eletrica-manual,sex,11:10,12:50,Elétrica,D1-01,1
2023102,PEA3301,Introdução aos Sistemas de Potência,Carlos Eduardo de Morais Pereira,2023-03-13,2023-07-15,eletrica-manual,ter,07:30,09:10,Elétrica,D1-02,1
2023102,PEA3301,Introdução aos Sistemas de Potência,Carlos Eduardo de Morais Pereira,2023-03-13,2023-07-15,eletrica-manual,sex,11:10,12:50,Elétrica,D1-02,1
2023103,PEA3301,Introdução aos Sistemas de Potência,Giovanni Manassero Junior,2023-03-13,2023-07-15,eletrica-manual,ter,07:30,09:10,Elétrica,D1-03,1
2023103,PEA3301,Introdução aos Sistemas de Potência,Giovanni Manassero Junior,2023-03-13,2023-07-15,eletrica-manual,sex,11:10,12:50,Elétrica,D1-03,1
2023104,PEA3301,Introdução aos Sistemas de Potência,Eduardo Lorenzetti Pellini,2023-03-13,2023-07-15,eletrica-manual,ter,07:30,09:10,Elétrica,D1-04,1
2023104,PEA3301,Introdução aos Sistemas de Potência,Eduardo Lorenzetti Pellini,2023-03-13,2023-07-15,eletrica-manual,sex,11:10,12:50,Elétrica,D1-04,1
2023101,PEA3306,Conversão Eletromecânica de Energia,Viviane Cristine Silva,2023-03-13,2023-07-15,eletrica-manual,ter,11:10,12:50,Elétrica,D1-01,1
2023101,PEA3306,Conversão Eletromecânica de Energia,Viviane Cristine Silva,2023-03-13,2023-07-15,eletrica-manual,sex,09:20,11:00,Elétrica,D1-01,1
2023102,PEA3306,Conversão Eletromecânica de Energia,Luiz Lebensztajn,2023-03-13,2023-07-15,eletrica-manual,ter,11:10,12:50,Elétrica,D1-02,1
2023102,PEA3306,Conversão Eletromecânica de Energia,Luiz Lebensztajn,2023-03-13,2023-07-15,eletrica-manual,sex,09:20,11:00,Elétrica,D1-02,1
2023103,PEA3306,Conversão Eletromecânica de Energia,Luiz Natal Rossi,2023-03-13,2023-07-15,eletrica-manual,ter,11:10,12:50,Elétrica,D1-03,1
2023103,PEA3306,Conversão Eletromecânica de Energia,Luiz Natal Rossi,2023-03-13,2023-07-15,eletrica-manual,sex,09:20,11:00,Elétrica,D1-03,1
2023101,PEA3311,Laboratório de Conversão Eletromecânica de Energia,,2023-03-13,2023-07-15,eletrica-manual,qui,09:20,12:00,Elétrica,A1-33,1
2023102,PEA3311,Laboratório de Conversão Eletromecânica de Energia,Alberto Bianchi Junior,2023-03-13,2023-07-15,eletrica-manual,qui,09:20,12:00,Elétrica,A1-37,1
2023103,PEA3311,Laboratório de Conversão Eletromecânica de Energia,Maurício Barbosa de Camargo Salles,2023-03-13,2023-07-15,eletrica-manual,ter,15:00,17:40,Elétrica,A1-33,1
2023104,PEA3311,Laboratório de Conversão Eletromecânica de Energia,Cicero Couto de Moraes,2023-03-13,2023-07-15,eletrica-manual,ter,15:00,17:40,Elétrica,A1-37,1
